date,category,weight_pct,mom_change_pct,yoy_change_pct
2024-06-01,Education Services,5.562,0.0,2.2
2024-06-01,Restaurants and Accommodation Services,8.0991,0.6,4.4
2024-06-01,Insurance and Financial Services,2.2423,0.0,0.9
2024-06-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.4,4.8
2024-07-01,Food and Non-Alcoholic Beverages,32.9094,-0.5,5.6
2024-07-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.4,6.9
2024-07-01,Clothing and Footwear,2.9914,0.1,3.6
2024-07-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,-0.4,3.9
2024-07-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.4,4.4
2024-07-01,Health,2.9116,0.3,2.7
2024-07-01,Transport,9.6468,-0.1,4.0
2024-07-01,Information and Communication,7.784,0.0,1.2
2024-07-01,"Recreation, Sport and Culture",1.7219,0.3,4.5
2024-07-01,Education Services,5.562,0.0,2.2
2024-07-01,Restaurants and Accommodation Services,8.0991,0.2,4.3
2024-07-01,Insurance and Financial Services,2.2423,0.1,0.9
2024-07-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.4,4.8
2024-08-01,Food and Non-Alcoholic Beverages,32.9094,-0.7,5.3
2024-08-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,1.9,8.2
2024-08-01,Clothing and Footwear,2.9914,0.1,3.5
2024-08-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,0.3,4.2
2024-08-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.2,4.2
2024-08-01,Health,2.9116,0.3,2.8
2024-08-01,Transport,9.6468,0.3,3.9
2024-08-01,Information and Communication,7.784,0.3,1.6
2024-08-01,"Recreation, Sport and Culture",1.7219,0.1,4.5
2024-08-01,Education Services,5.562,0.7,2.8
2024-08-01,Restaurants and Accommodation Services,8.0991,0.4,4.5
2024-08-01,Insurance and Financial Services,2.2423,0.1,0.7
2024-08-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.2,4.6
2024-09-01,Food and Non-Alcoholic Beverages,32.9094,0.4,5.1
2024-09-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.2,7.7
2024-09-01,Clothing and Footwear,2.9914,0.1,3.3
2024-09-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,-0.1,2.6
2024-09-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.2,3.8
2024-09-01,Health,2.9116,0.3,2.7
2024-09-01,Transport,9.6468,0.1,0.5
2024-09-01,Information and Communication,7.784,0.0,1.4
2024-09-01,"Recreation, Sport and Culture",1.7219,0.1,4.3
2024-09-01,Education Services,5.562,0.2,2.9
2024-09-01,Restaurants and Accommodation Services,8.0991,0.3,4.4
2024-09-01,Insurance and Financial Services,2.2423,0.1,0.7
2024-09-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.3,4.5
2024-10-01,Food and Non-Alcoholic Beverages,32.9094,0.5,4.3
2024-10-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.3,7.2
2024-10-01,Clothing and Footwear,2.9914,0.5,3.4
2024-10-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,-0.3,0.4
2024-10-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.4,4.1
2024-10-01,Health,2.9116,0.3,3.0
2024-10-01,Transport,9.6468,-0.3,-1.3
2024-10-01,Information and Communication,7.784,0.1,1.4
2024-10-01,"Recreation, Sport and Culture",1.7219,0.3,4.3
2024-10-01,Education Services,5.562,0.0,2.9
2024-10-01,Restaurants and Accommodation Services,8.0991,0.6,4.6
2024-10-01,Insurance and Financial Services,2.2423,0.0,0.7
2024-10-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.4,4.4
2024-11-01,Food and Non-Alcoholic Beverages,32.9094,0.6,4.5
2024-11-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.5,7.6
2024-11-01,Clothing and Footwear,2.9914,0.1,2.9
2024-11-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,-0.1,0.1
2024-11-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.2,3.9
2024-11-01,Health,2.9116,0.1,2.9
2024-11-01,Transport,9.6468,0.2,-1.1
2024-11-01,Information and Communication,7.784,0.0,1.4
2024-11-01,"Recreation, Sport and Culture",1.7219,0.1,4.3
2024-11-01,Education Services,5.562,0.0,2.9
2024-11-01,Restaurants and Accommodation Services,8.0991,0.1,4.5
2024-11-01,Insurance and Financial Services,2.2423,0.6,1.3
2024-11-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.2,4.1
2024-12-01,Food and Non-Alcoholic Beverages,32.9094,0.7,4.8
2024-12-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.1,7.2
2024-12-01,Clothing and Footwear,2.9914,2.0,4.5
2024-12-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,0.2,-0.2
2024-12-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.2,3.8
2024-12-01,Health,2.9116,0.5,3.0
2024-12-01,Transport,9.6468,1.8,0.1
2024-12-01,Information and Communication,7.784,0.1,1.2
2024-12-01,"Recreation, Sport and Culture",1.7219,0.2,3.9
2024-12-01,Education Services,5.562,0.0,2.8
2024-12-01,Restaurants and Accommodation Services,8.0991,0.4,4.5
2024-12-01,Insurance and Financial Services,2.2423,0.0,1.2
2024-12-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.4,4.1
2025-01-01,Food and Non-Alcoholic Beverages,32.9094,1.6,6.1
2025-01-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.3,6.7
2025-01-01,Clothing and Footwear,2.9914,0.0,3.9
2025-01-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,0.1,-1.6
2025-01-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.3,3.3
2025-01-01,Health,2.9116,0.4,3.3
2025-01-01,Transport,9.6468,-0.4,0.7
2025-01-01,Information and Communication,7.784,0.1,1.1
2025-01-01,"Recreation, Sport and Culture",1.7219,1.0,3.5
2025-01-01,Education Services,5.562,1.6,2.6
2025-01-01,Restaurants and Accommodation Services,8.0991,0.1,4.0
2025-01-01,Insurance and Financial Services,2.2423,0.0,0.9
2025-01-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.3,4.1
2025-02-01,Food and Non-Alcoholic Beverages,32.9094,0.6,6.4
2025-02-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.6,6.2
2025-02-01,Clothing and Footwear,2.9914,0.1,3.9
2025-02-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,0.1,-0.8
2025-02-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.3,3.3
2025-02-01,Health,2.9116,0.5,3.5
2025-02-01,Transport,9.6468,0.1,0.7
2025-02-01,Information and Communication,7.784,0.1,1.1
2025-02-01,"Recreation, Sport and Culture",1.7219,0.1,3.3
2025-02-01,Education Services,5.562,0.1,2.7
2025-02-01,Restaurants and Accommodation Services,8.0991,0.2,3.9
2025-02-01,Insurance and Financial Services,2.2423,0.0,0.9
2025-02-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.2,3.7
2025-03-01,Food and Non-Alcoholic Beverages,32.9094,0.7,6.6
2025-03-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.3,6.1
2025-03-01,Clothing and Footwear,2.9914,0.3,4.0
2025-03-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,0.2,-0.8
2025-03-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.2,3.1
2025-03-01,Health,2.9116,0.1,3.3
2025-03-01,Transport,9.6468,0.2,1.5
